as_of_date,category,stock_quantity,days_until_expiry,original_price,candidate_price,discount_pct,recent_7d_velocity,previous_23d_velocity,weekday,observation_count,units_sold_before_expiry
2026-01-18,Bakery,43,13,447.79,403.01,10,1.6732,1.8394,4,28,33.32
2026-01-19,Grocery,41,2,315.1,204.82,35,1.4822,1.1813,5,15,4.67
2026-01-20,Grocery,55,4,135.73,135.73,0,0.8936,0.6791,6,16,3.66
2026-01-21,Meat,15,20,186.32,186.32,0,0.7708,1.1838,0,22,15
2026-01-22,Produce,78,3,399.97,319.98,20,2.3048,2.2568,1,19,11.4
2026-01-23,Deli,56,12,253.66,152.2,40,1.2896,1.3803,2,21,34.41
2026-01-24,Grocery,48,17,172.81,146.89,15,1.05,1.1549,3,13,26.27
2026-01-25,Deli,4,12,270.9,230.26,15,1.6675,1.3509,4,16,4
2026-01-26,Deli,28,7,329.26,263.41,20,0.4853,1.2723,5,24,7.3
2026-01-27,Grocery,62,23,309.89,216.92,30,1.2704,0.6893,6,13,40.75
2026-01-28,Dairy,61,4,441.15,441.15,0,1.8804,0.4891,0,23,5.56
2026-01-29,Dairy,32,23,246.6,197.28,20,1.559,2.2312,1,26,32
2026-01-30,Grocery,54,7,112.52,112.52,0,0.9078,0.9236,2,3,6.8
2026-01-31,Meat,21,4,163.02,130.42,20,0.5232,0.5646,3,9,1.5
2026-02-01,Dairy,25,10,129.0,96.75,25,2.6011,1.4202,4,20,25
2026-02-02,Dairy,28,6,35.21,26.41,25,1.5915,1.4506,5,28,17.72
2026-02-03,Bakery,29,11,169.91,135.93,20,1.2479,1.4441,6,8,25.98
2026-02-04,Meat,58,26,442.23,398.01,10,1.6862,1.563,0,20,51.09
2026-02-05,Grocery,50,23,176.03,114.42,35,1.1662,1.2223,1,4,47.7
2026-02-06,Seafood,78,20,114.82,86.11,25,0.9691,0.6668,2,30,33.71
2026-02-07,Dairy,68,28,484.98,290.99,40,1.8073,1.547,3,18,68
2026-02-08,Seafood,11,22,104.53,67.94,35,0.9037,0.5114,4,17,11
2026-02-09,Dairy,50,11,274.6,164.76,40,1.4645,1.3874,5,11,36.18
2026-02-10,Meat,77,13,333.63,266.9,20,1.1494,1.3182,6,12,25.08
2026-02-11,Grocery,51,29,296.4,207.48,30,0.7338,0.9964,0,27,37.14
2026-02-12,Bakery,59,10,271.44,217.15,20,1.1909,1.4958,1,17,19.5
2026-02-13,Grocery,50,14,407.14,285.0,30,0.7456,0.9903,2,17,19.45
2026-02-14,Dairy,12,9,195.57,176.01,10,1.3289,2.0105,3,11,12
2026-02-15,Dairy,18,4,58.89,58.89,0,1.4388,1.1113,4,24,5.84
2026-02-16,Deli,41,9,378.98,284.24,25,1.4083,1.6563,5,25,29.16
2026-02-17,Produce,36,18,29.05,21.79,25,3.0481,1.89,6,15,36
2026-02-18,Grocery,77,27,384.96,384.96,0,0.5868,1.0629,0,15,17.98
2026-02-19,Dairy,29,8,250.36,150.22,40,1.2022,1.414,1,28,19.36
2026-02-20,Bakery,27,11,228.68,148.64,35,1.9731,2.3715,2,21,27
2026-02-21,Seafood,42,5,473.09,473.09,0,0.7904,0.504,3,14,3.55
2026-02-22,Deli,56,8,227.22,147.69,35,1.2518,0.6504,4,21,18.4
2026-02-23,Seafood,20,2,98.0,68.6,30,1.2987,0.46,5,22,3.43
2026-02-24,Meat,53,28,490.58,392.46,20,1.2325,1.0621,6,13,46.43
2026-02-25,Meat,41,15,69.29,62.36,10,1.386,1.0062,0,29,20.63
2026-02-26,Produce,65,20,37.75,30.2,20,3.6288,2.6515,1,24,65
2026-02-27,Meat,61,3,52.29,52.29,0,1.3741,1.4085,2,16,6.11
2026-02-28,Grocery,17,6,86.34,56.12,35,0.8691,1.0154,3,7,12.96
2026-03-01,Seafood,42,7,230.3,138.18,40,0.7243,1.0916,4,12,15.52
2026-03-02,Meat,67,7,365.47,219.28,40,1.0925,1.1398,5,15,18.33
2026-03-03,Meat,34,26,274.78,164.87,40,1.2094,0.6811,6,26,34
2026-03-04,Bakery,61,10,189.72,142.29,25,0.8909,2.4357,0,8,24.11
2026-03-05,Meat,58,24,242.47,206.1,15,0.7772,1.053,1,25,26.96
2026-03-06,Bakery,23,8,155.04,116.28,25,1.6829,1.6262,2,18,23
2026-03-07,Grocery,73,25,82.58,57.81,30,0.2534,1.1254,3,27,21.19
2026-03-08,Seafood,55,11,239.19,179.39,25,0.9252,0.9787,4,24,22.73
2026-03-09,Produce,51,15,188.24,122.36,35,2.1669,2.372,5,3,51
2026-03-10,Deli,20,4,180.38,108.23,40,1.0428,1.2129,6,17,7.9
2026-03-11,Dairy,38,16,424.74,361.03,15,1.3828,1.8246,0,8,28.53
2026-03-12,Deli,71,4,377.19,320.61,15,1.8302,1.4864,1,14,9.31
2026-03-13,Dairy,7,7,449.03,359.22,20,1.2279,1.3684,2,23,7
2026-03-14,Seafood,16,17,210.54,157.91,25,0.5007,1.0257,3,9,16
2026-03-15,Dairy,33,12,119.99,119.99,0,1.6538,0.3053,4,13,20.9
2026-03-16,Seafood,11,7,129.77,116.79,10,1.0724,0.4133,5,16,9.42
2026-03-17,Meat,44,4,178.27,142.62,20,1.3025,0.5543,6,15,4.24
2026-03-18,Grocery,32,4,126.55,88.58,30,0.9729,1.0467,0,9,5.95
2026-03-19,Grocery,11,8,337.53,253.15,25,0.9552,0.8307,1,5,9.97
2026-03-20,Dairy,41,14,389.58,233.75,40,1.7419,1.4779,2,30,39.65
2026-03-21,Meat,35,6,480.54,336.38,30,0.8351,1.606,3,24,10.71
2026-03-22,Seafood,20,23,182.72,127.9,30,1.3623,0.8449,4,21,20
2026-03-23,Grocery,68,13,329.28,263.42,20,1.0272,0.5316,5,3,19.05
2026-03-24,Dairy,18,1,171.7,111.6,35,1.5332,0.8749,6,12,3.59
2026-03-25,Dairy,51,5,122.08,122.08,0,1.687,1.5542,0,17,10.02
2026-03-26,Produce,45,29,88.78,62.15,30,1.2665,1.204,1,23,45
2026-03-27,Seafood,6,10,133.78,93.65,30,0.7865,0.7991,2,4,6
2026-03-28,Produce,31,8,313.83,203.99,35,1.5583,1.9486,3,18,29.85
2026-03-29,Bakery,9,7,326.32,277.37,15,1.6324,2.059,4,8,9
2026-03-30,Meat,29,18,137.25,123.53,10,0.7136,1.2655,5,16,23.35
2026-03-31,Dairy,34,20,168.97,101.38,40,1.7989,1.7956,6,30,34
2026-04-01,Seafood,13,16,476.73,333.71,30,0.7468,0.9976,0,26,13
2026-04-02,Grocery,22,25,414.31,248.59,40,1.1495,1.2918,1,30,22
2026-04-03,Bakery,41,25,307.71,261.55,15,1.4298,1.6906,2,12,41
2026-04-04,Grocery,80,18,253.4,177.38,30,1.2041,1.2207,3,7,38.93
2026-04-05,Dairy,4,1,434.29,304.0,30,0.3047,1.5551,4,14,3.06
2026-04-06,Grocery,42,16,329.5,296.55,10,0.6595,0.9291,5,6,16.84
2026-04-07,Grocery,75,30,102.12,66.38,35,1.5795,0.8628,6,25,73.26
2026-04-08,Grocery,50,21,355.82,231.28,35,0.676,1.4381,0,10,28.21
2026-04-09,Grocery,49,2,324.7,324.7,0,0.8367,0.5914,1,24,1.48
2026-04-10,Dairy,34,9,311.02,264.37,15,2.0774,2.2703,2,23,28.2
2026-04-11,Produce,52,30,213.89,192.5,10,1.5502,1.9549,3,11,52
2026-04-12,Produce,67,10,484.65,315.02,35,2.6131,1.163,4,27,54.73
2026-04-13,Produce,14,28,76.91,53.84,30,2.2176,1.5632,5,25,14
2026-04-14,Deli,24,1,412.78,412.78,0,1.8752,1.7092,6,16,2.56
2026-04-15,Meat,39,14,373.2,317.22,15,1.2103,1.2897,0,19,23.8
2026-04-16,Bakery,75,15,411.83,350.06,15,2.3436,2.0728,1,28,57.62
2026-04-17,Seafood,36,7,491.9,319.74,35,0.2516,1.1171,2,5,8.02
2026-04-18,Deli,51,3,84.22,75.8,10,1.5785,0.9385,3,18,6.74
2026-04-19,Grocery,15,22,29.52,22.14,25,1.0005,0.9639,4,6,15
2026-04-20,Dairy,3,17,203.44,152.58,25,0.7296,1.9639,5,13,3
2026-04-21,Meat,46,14,201.12,140.78,30,1.8094,1.0979,6,15,44.21
2026-04-22,Meat,48,2,439.71,395.74,10,0.8937,1.7672,0,15,2.65
2026-04-23,Produce,20,27,37.2,33.48,10,2.3854,1.6438,1,14,20
2026-04-24,Grocery,63,20,269.58,215.66,20,0.3894,1.4276,2,29,19.65
2026-04-25,Deli,49,1,439.88,307.92,30,1.066,0.9639,3,28,0.65
2026-04-26,Bakery,57,12,471.07,282.64,40,1.9002,2.8616,4,6,57
2026-04-27,Produce,40,13,313.41,266.4,15,2.9786,1.1052,5,4,40
2026-04-28,Dairy,14,16,168.14,100.88,40,0.6861,1.7409,6,6,14
2026-04-29,Grocery,72,22,139.43,111.54,20,1.4031,1.6326,0,25,42.24
2026-04-30,Bakery,44,6,453.76,340.32,25,1.5172,1.8771,1,18,19.73
2026-05-01,Produce,20,4,463.3,277.98,40,2.9052,2.4954,2,27,20
2026-05-02,Meat,46,3,204.08,132.65,35,0.4571,0.7715,3,30,1.68
2026-05-03,Grocery,32,26,131.19,118.07,10,0.9567,1.141,4,9,32
2026-05-04,Produce,76,4,199.68,139.78,30,2.7909,2.7544,5,3,25.92
2026-05-05,Deli,78,2,279.41,181.62,35,1.5657,1.1601,6,28,4.34
2026-05-06,Dairy,80,17,305.62,275.06,10,2.0938,1.0573,0,17,39.2
2026-05-07,Deli,40,5,422.68,253.61,40,1.099,1.016,1,30,10.55
2026-05-08,Seafood,7,27,309.47,232.1,25,1.4108,0.4876,2,11,7
2026-05-09,Seafood,76,23,252.18,201.74,20,0.4086,0.9132,3,13,14.15
2026-05-10,Dairy,29,27,427.83,342.26,20,2.5349,1.4547,4,30,29
2026-05-11,Seafood,65,6,370.51,277.88,25,1.36,0.8612,5,20,17.31
2026-05-12,Grocery,57,11,347.0,242.9,30,0.1244,1.0145,6,19,5.39
2026-05-13,Produce,39,10,355.78,284.62,20,1.7332,1.2793,0,28,27.73
2026-05-14,Meat,9,28,428.66,321.5,25,1.2954,0.9097,1,7,9
2026-05-15,Grocery,64,23,163.26,138.77,15,1.1581,1.5247,2,14,40.23
2026-05-16,Produce,76,28,73.43,62.42,15,2.9574,0.7797,3,24,76
2026-05-17,Seafood,10,6,70.62,42.37,40,0.9443,0.9801,4,21,10
2026-05-18,Grocery,54,5,141.38,127.24,10,0.9373,1.02,5,25,8.39
2026-05-19,Meat,51,6,393.53,354.18,10,1.2335,0.4497,6,23,6.89
2026-05-20,Grocery,4,12,82.0,73.8,10,0.7725,1.3094,0,19,4
2026-05-21,Dairy,78,1,297.17,178.3,40,1.371,2.2361,1,18,3.73
2026-05-22,Produce,58,23,166.72,141.71,15,1.5746,2.1763,2,30,58
2026-05-23,Seafood,26,18,217.53,217.53,0,0.4437,1.2082,3,5,12.32
2026-05-24,Meat,77,27,281.02,252.92,10,0.6373,1.105,4,24,27.77
2026-05-25,Bakery,79,6,355.23,355.23,0,0.735,1.4732,5,9,7.02
2026-05-26,Produce,14,6,292.19,292.19,0,2.2567,2.267,6,12,14
2026-05-27,Deli,24,18,225.95,225.95,0,1.2013,1.3107,0,12,24
2026-05-28,Produce,59,18,91.43,54.86,40,1.4931,1.7533,1,14,59
2026-05-29,Meat,68,18,124.67,112.2,10,1.0392,1.0148,2,30,24.66
2026-05-30,Seafood,20,7,311.02,248.82,20,0.9398,0.7176,3,26,8.48
2026-05-31,Meat,12,14,286.18,214.63,25,0.4865,1.5828,4,11,12
2026-06-01,Produce,21,14,279.55,251.6,10,2.1715,1.6736,5,23,21
2026-06-02,Produce,27,21,364.36,309.71,15,1.6463,2.1675,6,3,27
2026-06-03,Meat,12,8,153.31,137.98,10,1.0805,0.9641,0,13,8.04
2026-06-04,Produce,49,3,456.89,342.67,25,2.7592,2.8535,1,10,15.94
2026-06-05,Grocery,18,4,108.47,81.35,25,1.1572,0.5386,2,6,4.8
2026-06-06,Meat,76,12,436.06,327.05,25,0.4598,0.6606,3,15,12.08
2026-06-07,Dairy,71,12,287.04,186.58,35,2.6162,1.2674,4,3,63.66
2026-06-08,Produce,22,17,337.34,286.74,15,1.1738,2.6751,5,14,22
2026-06-09,Produce,34,25,347.15,225.65,35,2.367,1.8977,6,14,34
2026-06-10,Seafood,67,15,161.24,104.81,35,0.4027,0.8445,0,23,14.92
2026-06-11,Seafood,42,3,218.09,152.66,30,0.7954,1.1159,1,5,3.26
2026-06-12,Produce,14,8,103.43,103.43,0,2.4952,2.2495,2,3,14
2026-06-13,Grocery,68,22,467.91,397.72,15,0.7276,0.642,3,24,20.97
2026-06-14,Meat,18,23,217.6,174.08,20,1.64,0.8099,4,26,18
2026-06-15,Deli,70,8,349.94,349.94,0,0.5624,0.4731,5,24,2.97
2026-06-16,Seafood,31,17,108.04,75.63,30,1.1015,0.6256,6,15,31
2026-06-17,Dairy,17,12,185.53,148.42,20,1.3381,1.9312,0,30,17
2026-06-18,Bakery,41,10,254.48,190.86,25,2.0372,2.6602,1,12,38.68
2026-06-19,Produce,7,17,469.32,281.59,40,1.7945,2.061,2,17,7
2026-06-20,Deli,48,10,75.9,53.13,30,1.4079,1.0529,3,18,22.93
2026-06-21,Dairy,70,3,269.3,228.91,15,1.6922,0.6577,4,3,8.73
2026-06-22,Dairy,35,25,132.4,86.06,35,1.1481,1.8043,5,11,35
2026-06-23,Bakery,59,15,101.87,71.31,30,1.3104,1.7989,6,30,43.46
2026-06-24,Produce,17,7,115.04,115.04,0,2.4885,2.4671,0,24,15.72
2026-06-25,Dairy,37,16,81.43,48.86,40,1.6161,0.7326,1,25,37
2026-06-26,Dairy,54,11,263.38,171.2,35,2.3952,2.3319,2,14,54
2026-06-27,Meat,33,1,49.72,34.8,30,0.9072,0.6978,3,3,1.87
2026-06-28,Grocery,40,16,159.06,143.15,10,1.0181,0.7742,4,10,23.07
2026-06-29,Deli,17,25,435.48,348.38,20,1.6112,1.0087,5,18,17
2026-06-30,Produce,16,26,358.04,304.33,15,2.517,3.0924,6,6,16
2026-07-01,Dairy,7,13,155.08,124.06,20,1.2842,1.9281,0,22,7
2026-07-02,Dairy,9,3,205.67,154.25,25,1.0472,0.3015,1,4,4.62
2026-07-03,Meat,9,14,169.54,127.16,25,1.4994,0.583,2,25,9
2026-07-04,Grocery,43,8,450.18,382.65,15,1.1108,1.0249,3,18,11.52
2026-07-05,Deli,80,30,72.86,61.93,15,0.9102,1.194,4,13,52.4
2026-07-06,Deli,15,4,342.75,291.34,15,0.8627,1.7166,5,19,5.48
2026-07-07,Meat,33,12,333.87,267.1,20,1.6116,0.9783,6,6,25.21
2026-07-08,Dairy,80,21,82.17,65.74,20,1.7002,1.9578,0,22,62.69
2026-07-09,Deli,63,10,495.08,396.06,20,1.7818,0.9966,1,7,23.73
2026-07-10,Dairy,73,14,363.01,254.11,30,1.9524,1.1989,2,5,44.64
2026-07-11,Grocery,70,14,467.38,467.38,0,0.2466,1.1197,3,7,7.88
2026-07-12,Deli,75,2,53.88,43.1,20,1.1753,0.8382,4,5,2.96
2026-07-13,Dairy,68,15,207.47,134.86,35,0.5271,1.2091,5,8,26.68
2026-07-14,Bakery,76,6,128.46,128.46,0,2.6081,1.1426,6,19,10.18
2026-07-15,Deli,31,10,165.77,124.33,25,1.382,0.9912,0,4,19.13
2026-07-16,Meat,40,8,43.57,37.03,15,1.3902,1.0052,1,4,16.92
2026-07-17,Produce,29,8,278.93,278.93,0,3.0554,1.495,2,14,18.08
2026-07-18,Deli,73,3,150.42,127.86,15,0.7156,1.4696,3,29,3.74
2026-07-19,Bakery,48,27,129.16,96.87,25,1.993,2.4403,4,20,48
2026-07-20,Produce,77,28,75.56,49.11,35,2.5088,1.845,5,9,77
2026-07-21,Seafood,31,15,179.02,143.22,20,0.5943,0.4728,6,27,10.87
2026-07-22,Grocery,60,5,135.07,87.8,35,0.4881,1.4753,0,8,6.95
2026-07-23,Seafood,25,28,114.71,68.83,40,1.0107,1.0596,1,12,25
2026-07-24,Bakery,23,10,445.5,289.57,35,1.6442,1.4783,2,17,23
2026-07-25,Produce,15,13,369.05,313.69,15,2.5789,1.8414,3,22,15
2026-07-26,Bakery,52,13,34.84,34.84,0,1.8765,1.0262,4,5,26.47
2026-07-27,Deli,79,5,31.41,31.41,0,1.2861,1.3647,5,26,7.33
2026-07-28,Seafood,13,11,121.1,72.66,40,0.9404,0.3309,6,18,13
2026-07-29,Dairy,10,8,283.18,212.38,25,1.0876,1.3395,0,29,10
2026-07-30,Bakery,72,4,165.95,107.87,35,2.6733,2.7264,1,7,26.33
2026-07-31,Deli,39,21,132.3,86.0,35,1.2666,0.9793,2,6,39
2026-08-01,Grocery,17,6,131.65,98.74,25,0.6978,1.3241,3,5,10.73
2026-08-02,Bakery,22,20,109.58,76.71,30,2.7665,1.1399,4,7,22
2026-08-03,Produce,41,22,321.76,241.32,25,1.81,2.2291,5,11,41
2026-08-04,Seafood,12,30,399.71,339.75,15,0.667,0.9264,6,7,12
2026-08-05,Grocery,64,15,411.96,370.76,10,0.2173,0.6429,0,7,5.56
2026-08-06,Dairy,52,25,192.49,115.49,40,1.725,0.8858,1,16,52
2026-08-07,Meat,45,26,90.66,72.53,20,0.7391,1.3791,2,20,32.09
2026-08-08,Seafood,52,8,64.72,42.07,35,0.8115,0.4392,3,28,10.09
2026-08-09,Produce,14,8,136.72,136.72,0,2.395,3.1199,4,7,14
2026-08-10,Bakery,47,2,196.41,166.95,15,2.3433,1.7165,5,30,8.34
2026-08-11,Meat,56,30,140.19,112.15,20,1.2969,1.1618,6,15,56
2026-08-12,Produce,57,1,201.55,181.4,10,1.742,1.8776,0,29,1.97
2026-08-13,Meat,23,28,39.34,27.54,30,1.2822,1.2919,1,16,23
2026-08-14,Dairy,26,25,248.14,210.92,15,1.5775,1.4917,2,12,26
2026-08-15,Grocery,46,14,235.89,235.89,0,0.9533,1.17,3,27,14.58
2026-08-16,Dairy,23,17,30.16,19.6,35,1.4089,1.108,4,20,23
2026-08-17,Produce,36,27,461.6,346.2,25,1.8143,1.3905,5,19,36
2026-08-18,Grocery,30,5,215.19,215.19,0,1.7845,1.0371,6,26,8.84
2026-08-19,Meat,12,20,412.87,247.72,40,0.5457,1.1679,0,4,12
2026-08-20,Seafood,57,12,117.5,105.75,10,1.0731,1.1031,1,27,17.51
2026-08-21,Seafood,6,11,138.78,117.96,15,0.7881,0.8744,2,12,6
2026-08-22,Dairy,28,18,328.23,328.23,0,0.9943,1.5115,3,21,21.55
2026-08-23,Meat,75,2,493.58,296.15,40,1.4209,1.1812,4,14,6.4
2026-08-24,Seafood,53,10,262.6,183.82,30,0.8857,0.905,5,7,14.19
2026-08-25,Produce,15,22,182.38,164.14,10,0.7909,1.9858,6,18,15
2026-08-26,Meat,7,28,162.81,138.39,15,1.2018,1.0449,0,23,7
2026-08-27,Bakery,32,23,445.09,378.33,15,1.8441,1.4822,1,26,32
2026-08-28,Meat,69,21,466.86,326.8,30,0.995,0.9344,2,12,36.51
2026-01-01,Deli,58,20,44.01,28.61,35,1.2979,2.4245,3,21,54.17
2026-01-02,Produce,15,16,407.25,346.16,15,0.9033,2.0529,4,30,15
2026-01-03,Seafood,14,26,261.98,157.19,40,0.6137,1.4798,5,14,14
2026-01-04,Deli,12,3,110.11,66.07,40,1.4892,1.1797,6,11,10.59
2026-01-05,Seafood,59,29,333.89,283.81,15,1.6816,0.6339,0,12,47.21
2026-01-06,Grocery,19,14,234.39,164.07,30,1.0245,0.6815,1,19,19
2026-01-07,Grocery,8,9,319.79,319.79,0,0.9852,0.7755,2,30,8
2026-01-08,Bakery,51,10,100.15,65.1,35,1.7283,2.0329,3,30,37.76
2026-01-09,Grocery,14,22,190.75,114.45,40,0.5302,0.4975,4,26,14
2026-01-10,Bakery,53,30,389.9,311.92,20,1.8585,1.6394,5,13,53
2026-01-11,Meat,30,16,358.59,215.15,40,1.4192,1.3391,6,7,30
2026-01-12,Produce,43,7,294.9,191.69,35,1.5234,3.0082,0,28,30.71
2026-01-13,Grocery,30,16,50.69,50.69,0,1.5077,0.8666,1,5,20.8
2026-01-14,Dairy,38,3,217.41,163.06,25,2.2403,1.846,2,16,9.75
2026-01-15,Meat,36,7,112.44,112.44,0,1.7932,1.49,3,8,10.22
2026-01-16,Dairy,56,12,253.77,215.7,15,2.2355,1.971,4,25,42.42
2026-01-17,Meat,4,13,291.43,233.14,20,1.6047,1.3301,5,29,4
2026-01-18,Produce,43,24,31.74,19.04,40,1.5862,2.6457,6,13,43
2026-01-19,Bakery,55,26,149.83,149.83,0,3.3054,1.7045,0,23,55
2026-01-20,Meat,7,4,128.85,103.08,20,0.6733,0.7363,1,8,4.82
2026-01-21,Meat,30,13,190.34,152.27,20,1.597,1.0236,2,3,30
2026-01-22,Deli,42,29,263.49,237.14,10,1.2694,1.0369,3,17,39.32
2026-01-23,Grocery,48,14,192.3,125.0,35,0.4106,0.9259,4,16,16.84
2026-01-24,Deli,73,6,307.57,199.92,35,1.3707,0.6885,5,25,18.7
2026-01-25,Produce,39,14,358.49,322.64,10,3.2671,1.9684,6,22,39
2026-01-26,Grocery,66,4,381.22,343.1,10,1.3077,0.7628,0,28,4.08
2026-01-27,Bakery,40,22,429.56,343.65,20,1.9176,2.386,1,18,40
2026-01-28,Bakery,62,12,221.14,143.74,35,2.0824,2.3226,2,10,56.69
2026-01-29,Meat,37,10,442.81,332.11,25,0.8068,1.7665,3,3,20.37
2026-01-30,Grocery,4,2,37.47,26.23,30,0.7176,1.196,4,26,2.24
2026-01-31,Meat,45,11,105.95,68.87,35,1.1532,1.988,5,29,34.5
2026-02-01,Bakery,76,26,228.82,148.73,35,2.6478,2.1302,6,13,76
2026-02-02,Meat,58,6,134.71,114.5,15,0.5562,1.0875,0,23,5.87
2026-02-03,Deli,73,27,100.55,70.38,30,0.4104,1.2456,1,16,32.79
2026-02-04,Bakery,78,21,97.7,87.93,10,1.6717,1.7467,2,23,46.55
2026-02-05,Produce,48,25,113.61,90.89,20,0.05,1.7841,3,10,26.44
2026-02-06,Produce,51,25,390.94,390.94,0,1.7443,3.3855,4,21,51
2026-02-07,Seafood,17,4,243.09,218.78,10,0.5775,1.0721,5,8,4.68
2026-02-08,Bakery,66,3,426.2,340.96,20,1.2335,2.1976,6,23,8.16
2026-02-09,Bakery,56,7,203.25,142.27,30,1.8339,1.405,0,8,20.18
2026-02-10,Dairy,4,10,454.23,454.23,0,1.8564,1.7769,1,22,4
2026-02-11,Meat,23,1,272.83,204.62,25,2.127,1.2934,2,3,2.8
2026-02-12,Meat,69,1,268.08,227.87,15,1.1771,1.4074,3,7,1.85
2026-02-13,Dairy,19,3,152.11,91.27,40,1.4236,1.562,4,25,11.86
2026-02-14,Meat,40,21,246.85,148.11,40,0.2429,1.4121,5,9,29.48
2026-02-15,Produce,38,28,481.89,433.7,10,1.751,1.1148,6,12,38
2026-02-16,Dairy,29,26,478.04,286.82,40,0.9784,1.6986,0,13,29
2026-02-17,Meat,80,4,206.95,165.56,20,0.9256,0.8086,1,23,4.85
2026-02-18,Seafood,60,3,104.44,104.44,0,1.1323,0.8463,2,23,2.03
2026-02-19,Meat,53,12,39.22,33.34,15,1.3813,1.2267,3,8,19.53
2026-02-20,Deli,12,8,127.21,89.05,30,0.6935,1.651,4,3,12
2026-02-21,Produce,30,11,246.05,172.23,30,2.4261,2.6198,5,15,30
2026-02-22,Deli,30,20,275.45,247.91,10,0.5816,0.9865,6,24,21.61
2026-02-23,Bakery,56,19,349.01,226.86,35,1.4213,1.604,0,9,56
2026-02-24,Bakery,66,26,261.86,196.4,25,1.5146,1.932,1,15,66
2026-02-25,Dairy,5,19,160.39,160.39,0,1.9109,1.8128,2,29,5
2026-02-26,Grocery,71,2,461.07,461.07,0,0.9669,1.0464,3,16,0.55
2026-02-27,Produce,38,10,175.67,122.97,30,2.2477,1.3801,4,13,38
2026-02-28,Grocery,9,20,211.83,127.1,40,0.4994,1.018,5,22,9
2026-03-01,Bakery,31,1,47.72,47.72,0,1.1534,2.9035,6,30,3.36
2026-03-02,Produce,58,24,132.51,119.26,10,2.5455,3.2066,0,3,58
2026-03-03,Produce,9,28,148.35,148.35,0,3.1092,3.1164,1,5,9
2026-03-04,Deli,51,11,153.21,130.23,15,1.695,0.9833,2,7,24.81
2026-03-05,Seafood,55,19,327.53,294.78,10,1.089,0.7016,3,18,23.02
2026-03-06,Produce,38,16,177.91,106.75,40,2.0829,2.4642,4,20,38
2026-03-07,Seafood,34,28,338.25,270.6,20,1.0255,0.8638,5,18,34
2026-03-08,Bakery,4,7,343.49,206.09,40,1.9696,1.4834,6,21,4
2026-03-09,Seafood,68,17,432.77,324.58,25,1.0316,0.7984,0,30,20.72
2026-03-10,Meat,19,4,128.92,90.24,30,0.782,1.3385,1,15,5.87
2026-03-11,Dairy,38,3,225.97,169.48,25,1.2571,2.0633,2,6,7.18
2026-03-12,Dairy,16,15,378.89,303.11,20,2.0804,1.552,3,19,16
2026-03-13,Grocery,36,12,81.2,73.08,10,1.3958,0.8736,4,15,22.42
2026-03-14,Meat,68,14,183.53,110.12,40,1.0753,1.2482,5,16,32.99
2026-03-15,Dairy,27,10,216.28,162.21,25,0.8151,0.9841,6,16,14.63
2026-03-16,Bakery,9,22,332.01,298.81,10,1.8396,1.9752,0,5,9
2026-03-17,Meat,38,4,132.57,86.17,35,1.1674,0.9813,1,26,8.83
2026-03-18,Seafood,37,29,260.21,221.18,15,0.9648,0.6567,2,26,34.0
2026-03-19,Bakery,26,4,264.04,158.42,40,2.6245,1.7276,3,25,17.32
2026-03-20,Dairy,43,6,348.69,296.39,15,1.932,2.3916,4,18,20.87
2026-03-21,Grocery,5,11,109.32,81.99,25,1.0436,1.1348,5,27,5
2026-03-22,Seafood,79,1,192.27,115.36,40,0.584,0.744,6,29,1.26
2026-03-23,Bakery,40,19,421.8,358.53,15,2.1032,1.8293,0,6,40
2026-03-24,Deli,45,26,239.99,167.99,30,1.5233,1.1822,1,3,45
2026-03-25,Seafood,41,12,362.32,217.39,40,0.9254,1.212,2,26,26.81
2026-03-26,Produce,21,1,489.85,391.88,20,1.7914,1.7207,3,26,2.36
2026-03-27,Produce,49,14,123.0,110.7,10,2.0071,2.516,4,23,49
2026-03-28,Bakery,72,9,452.13,271.28,40,3.0834,1.7123,5,14,70.39
2026-03-29,Deli,78,13,223.21,167.41,25,2.0217,1.162,6,19,39.71
2026-03-30,Produce,18,11,230.89,138.53,40,0.8658,1.5672,0,3,18
2026-03-31,Grocery,21,30,246.5,209.53,15,1.1387,0.7544,1,20,21
2026-04-01,Produce,41,6,256.24,230.62,10,2.0382,1.8988,2,21,18.19
2026-04-02,Bakery,65,2,170.27,110.68,35,1.9308,1.1867,3,4,9.84
2026-04-03,Deli,47,5,442.39,376.03,15,1.8359,1.0368,4,16,15.04
2026-04-04,Meat,13,30,163.13,163.13,0,1.5887,0.7955,5,28,13
2026-04-05,Produce,52,21,225.72,203.15,10,3.2317,1.16,6,16,52
2026-04-06,Produce,44,29,407.08,346.02,15,1.7527,1.8372,0,7,44
2026-04-07,Grocery,28,18,168.0,151.2,10,0.7653,1.6564,1,28,20.68
2026-04-08,Seafood,15,14,90.84,54.5,40,0.9485,0.7901,2,24,15
2026-04-09,Produce,62,12,193.24,115.94,40,1.3685,2.2953,3,27,53.27
2026-04-10,Grocery,20,3,317.22,237.92,25,1.0775,1.0902,4,14,4.08
2026-04-11,Dairy,72,20,452.46,339.34,25,2.4571,1.7869,5,17,72
2026-04-12,Seafood,69,25,243.6,243.6,0,1.2337,1.0847,6,23,31.01
2026-04-13,Bakery,79,11,71.26,53.45,25,0.9154,1.4694,0,21,20.87
2026-04-14,Produce,9,17,358.25,304.51,15,1.7318,0.5486,1,7,9
